iter	Passed	Remaining
407	6534	9482
408	6551	9466
409	6564	9446
410	6576	9425
411	6588	9403
412	6599	9380
413	6614	9362
414	6630	9346
415	6649	9335
416	6666	9319
417	6679	9300
418	6691	9278
419	6701	9254
420	6714	9233
421	6726	9213
422	6739	9192
423	6750	9169
424	6774	9165
425	6811	9177
426	6864	9211
427	6896	9217
428	6928	9221
429	6959	9225
430	6981	9217
431	7012	9219
432	7042	9222
433	7062	9210
434	7077	9192
435	7090	9171
436	7107	9156
437	7128	9147
438	7159	9149
439	7193	9154
440	7224	9157
441	7245	9146
442	7266	9136
443	7281	9118
444	7293	9096
445	7305	9074
446	7312	9046
447	7330	9032
448	7346	9015
449	7366	9003
450	7391	8997
451	7409	8982
452	7428	8969
453	7468	8981
454	7493	8975
455	7516	8967
456	7547	8967
457	7583	8974
458	7617	8978
459	7650	8981
460	7699	9002
461	7763	9040
462	7831	9083
463	7867	9088
464	7907	9097
465	7932	9089
466	7956	9080
467	7976	9067
468	8008	9066
469	8038	9064
470	8069	9063
471	8088	9047
472	8107	9033
473	8123	9014
474	8139	8996
475	8155	8977
476	8166	8954
477	8174	8926
478	8187	8905
479	8197	8881
480	8205	8853
481	8214	8828
482	8221	8800
483	8232	8776
484	8240	8749
485	8251	8726
486	8260	8701
487	8267	8674
488	8276	8648
489	8283	8622
490	8292	8596
491	8300	8569
492	8307	8543
493	8315	8517
494	8322	8491
495	8332	8466
496	8345	8446
497	8359	8427
498	8373	8407
499	8400	8400
500	8433	8399
501	8451	8384
502	8483	8381
503	8504	8369
504	8532	8363
505	8562	8359
506	8586	8349
507	8614	8343
508	8644	8339
509	8668	8328
510	8682	8308
511	8694	8287
512	8702	8261
513	8717	8242
514	8756	8246
515	8797	8251
516	8829	8249
517	8882	8264
518	8910	8258
519	8927	8240
520	8945	8224
521	8962	8206
522	8978	8188
523	8992	8168
524	9005	8147
525	9017	8125
526	9029	8103
527	9042	8083
528	9054	8062
529	9070	8043
530	9088	8027
531	9103	8008
532	9139	8007
533	9177	8008
534	9220	8014
535	9256	8013
536	9289	8009
537	9321	8004
538	9345	7993
539	9376	7987
540	9412	7985
541	9457	7991
542	9514	8007
543	9550	8005
544	9572	7991
545	9595	7978
546	9620	7966
547	9638	7950
548	9658	7934
549	9675	7916
550	9696	7901
551	9709	7880
552	9723	7859
553	9737	7838
554	9751	7818
555	9765	7798
556	9774	7773
557	9784	7750
558	9796	7728
559	9803	7703
560	9814	7680
561	9822	7655
562	9831	7631
563	9841	7607
564	9849	7583
565	9859	7560
566	9867	7535
567	9877	7512
568	9884	7487
569	9894	7464
570	9901	7439
571	9917	7420
572	9930	7400
573	9943	7379
574	9955	7358
575	9963	7334
576	9972	7310
577	9980	7286
578	9989	7263
579	9997	7239
580	10008	7217
581	10016	7193
582	10026	7171
583	10034	7147
584	10043	7125
585	10051	7100
586	10061	7079
587	10070	7056
588	10078	7032
589	10086	7009
590	10094	6985
591	10103	6962
592	10110	6939
593	10120	6917
594	10129	6894
595	10139	6873
596	10147	6849
597	10157	6828
598	10164	6804
599	10176	6784
600	10189	6764
601	10207	6748
602	10226	6732
603	10247	6718
604	10262	6700
605	10274	6680
606	10285	6659
607	10296	6638
608	10309	6619
609	10328	6603
610	10339	6582
611	10353	6563
612	10365	6544
613	10376	6523
614	10390	6504
615	10402	6484
616	10412	6463
617	10427	6445
618	10440	6426
619	10452	6406
620	10466	6387
621	10478	6367
622	10489	6347
623	10502	6328
624	10511	6307
625	10527	6289
626	10543	6272
627	10558	6254
628	10572	6235
629	10588	6218
630	10602	6200
631	10616	6181
632	10626	6161
633	10639	6142
634	10653	6123
635	10662	6102
636	10672	6081
637	10683	6061
638	10691	6039
639	10702	6020
640	10712	5999
641	10723	5979
642	10735	5960
643	10747	5941
644	10754	5919
645	10766	5900
646	10775	5878
647	10784	5858
648	10795	5838
649	10803	5817
650	10814	5797
651	10825	5777
652	10833	5756
653	10843	5736
654	10852	5716
655	10862	5696
656	10870	5675
657	10881	5655
658	10888	5634
659	10898	5614
660	10905	5593
661	10915	5573
662	10923	5552
663	10931	5531
664	10943	5513
665	10956	5494
666	10967	5475
667	10979	5456
668	10990	5437
669	10998	5416
670	11006	5396
671	11015	5376
672	11025	5357
673	11035	5337
674	11045	5318
675	11053	5298
676	11063	5278
677	11073	5258
678	11080	5238
679	11091	5219
680	11099	5199
681	11109	5180
682	11116	5159
683	11127	5140
684	11134	5120
685	11146	5102
686	11157	5083
687	11164	5062
688	11174	5043
689	11187	5026
690	11197	5007
691	11210	4989
692	11223	4971
693	11238	4955
694	11250	4937
695	11262	4919
696	11275	4901
697	11288	4884
698	11301	4866
699	11313	4848
700	11325	4830
701	11339	4813
702	11355	4797
703	11368	4779
704	11379	4761
705	11392	4744
706	11405	4726
707	11418	4709
708	11432	4692
709	11443	4674
710	11459	4657
711	11473	4640
712	11487	4623
713	11501	4606
714	11512	4588
715	11525	4571
716	11538	4554
717	11554	4537
718	11569	4521
719	11582	4504
720	11593	4486
721	11606	4468
722	11618	4451
723	11631	4433
724	11641	4415
725	11652	4397
726	11666	4380
727	11678	4363
728	11687	4344
729	11697	4326
730	11704	4307
731	11713	4288
732	11721	4269
733	11730	4251
734	11738	4232
735	11748	4213
736	11756	4195
737	11766	4177
738	11775	4158
739	11782	4139
740	11792	4121
741	11799	4102
742	11808	4084
743	11816	4065
744	11826	4047
745	11835	4029
746	11844	4011
747	11851	3992
748	11861	3974
749	11867	3955
750	11879	3938
751	11886	3920
752	11896	3902
753	11902	3883
754	11911	3865
755	11918	3846
756	11927	3828
757	11935	3810
758	11944	3792
759	11951	3774
760	11964	3757
761	11974	3739
762	11984	3722
763	11997	3706
764	12009	3689
765	12018	3671
766	12027	3653
767	12034	3635
768	12043	3617
769	12050	3599
770	12059	3581
771	12066	3563
772	12078	3546
773	12087	3529
774	12094	3511
775	12102	3493
776	12110	3475
777	12117	3457
778	12125	3440
779	12133	3422
780	12142	3404
781	12149	3386
782	12159	3369
783	12167	3352
784	12175	3334
785	12183	3317
786	12193	3300
787	12202	3282
788	12209	3265
789	12217	3247
790	12224	3230
791	12231	3212
792	12240	3195
793	12247	3177
794	12256	3160
795	12262	3142
796	12272	3125
797	12279	3108
798	12291	3092
799	12300	3075
800	12307	3057
801	12314	3040
802	12322	3023
803	12329	3005
804	12339	2988
805	12346	2971
806	12355	2954
807	12362	2937
808	12373	2921
809	12382	2904
810	12390	2887
811	12401	2871
812	12416	2856
813	12430	2840
814	12441	2824
815	12452	2807
816	12465	2792
817	12475	2775
818	12488	2759
819	12502	2744
820	12513	2728
821	12524	2712
822	12537	2696
823	12551	2680
824	12566	2665
825	12578	2649
826	12590	2633
827	12603	2618
828	12613	2601
829	12623	2585
830	12633	2569
831	12641	2552
832	12651	2536
833	12659	2519
834	12668	2503
835	12677	2486
836	12685	2470
837	12695	2454
838	12704	2437
839	12714	2421
840	12721	2405
841	12731	2389
842	12739	2372
843	12748	2356
844	12755	2339
845	12765	2323
846	12772	2307
847	12783	2291
848	12792	2275
849	12799	2258
850	12811	2243
851	12821	2227
852	12831	2211
853	12838	2194
854	12848	2178
855	12855	2162
856	12865	2146
857	12872	2130
858	12881	2114
859	12888	2098
860	12897	2082
861	12904	2065
862	12915	2050
863	12925	2034
864	12932	2018
865	12942	2002
866	12949	1986
867	12960	1970
868	12966	1954
869	12977	1939
870	12983	1922
871	12993	1907
872	12999	1891
873	13010	1875
874	13022	1860
875	13033	1844
876	13045	1829
877	13054	1813
878	13062	1798
879	13069	1782
880	13077	1766
881	13084	1750
882	13093	1734
883	13100	1719
884	13109	1703
885	13116	1687
886	13127	1672
887	13135	1656
888	13143	1641
889	13150	1625
890	13158	1609
891	13166	1594
892	13175	1578
893	13182	1562
894	13191	1547
895	13198	1531
896	13207	1516
897	13214	1500
898	13227	1486
899	13237	1470
900	13244	1455
901	13255	1440
902	13262	1424
903	13272	1409
904	13278	1393
905	13288	1378
